titles,category
건희야 진짜,KIA
유승철  ,KIA
     미터  루타는 진짜 억울하네요   ,KIA
유승철 볼질은 차원이 다르군요,KIA
정말 김도영 기록 밀어줄거면 다음 쎈타자로   ,KIA
잘하면 한 타석 더 돌 것도 같은데,KIA
 회 김도영 나올수 있을까요 ,KIA
김도영 홈런과 승리 바꾸자고 하는 팀들 특징,KIA
도영이  번째 타석은 안 올듯,KIA
 회 한타석 더 돌아올라면,KIA
기아는 내야보다 외야가 부족한듯,KIA
더블스틸 갑시다,KIA
도영아 커트했어야지   ,KIA
더블스틸가자  ,KIA
김도영 한타석 더 가능    ,KIA
더블스틸가자  ,KIA
정우는 왜 바로 홈쇄도 안하고 백을 하니     ,KIA
건희야   ,KIA
      승부해주지,KIA
어 이건 계약에 어긋나는데요   ,KIA
밥먹고 오니    이네 ,KIA
주자가 있어서 그런가  ,KIA
아 한가운데 계속 놓치네 도영이,KIA
아  구 건희형이 하나 줬는데   ,KIA
두개 흘렸으면 하나쳐라,KIA
아 건희형 하나만 줘봐,KIA
도영이 인제 하나까자,KIA
진짜 타팀보면서 수비 감탄하는게 몇번인지    ,KIA
도영아 제발 치자,KIA
타석 좀 많이 돌게 해라 아,KIA
우리팀 야수 구성상 컨택이 되는  루수가 필요하죠,SAMSUNG
저번 두산전부터 아쉬운 수비로 경기가 망가지네요,SAMSUNG
뷰캐넌 메이저 콜업,SAMSUNG
양우현 수비는 어떤가여  ,SAMSUNG
참 웃긴게 뭐 기아를 숭배라도 해야되는겁니까 ,SAMSUNG
의외로 김재혁 콜업이 아니네요,SAMSUNG
뷰캐넌 신시내티 레즈 콜업     ,SAMSUNG
기아는 무식하게 야구합니다,SAMSUNG
뷰캐넌 구원등판,SAMSUNG
영상 메이저 리그 경기    이닝  실점 기록하는 뷰캐넌,SAMSUNG
오승환 천적들,SAMSUNG
오늘  시경기 강행은 진짜 미친짓입니다,SAMSUNG
어제 삼성 경기 패인은 기아 박찬호 때문에 진겁니다 ,SAMSUNG
오승환 아니였어도  위 싸움 제대로 되었을텐데,SAMSUNG
정신승리하자면,SAMSUNG
어제 경기보니 코시올라가도 우승하기 힘들듯,SAMSUNG
져서 아깝긴 한데 생각보다 괜츈한듯 ,SAMSUNG
그런데 요즘은 함수호 뽑짜는 사람 없나요 ,SAMSUNG
이 선수 영구결번 가능할까요 ,SAMSUNG
   키로 윤수는 얼마나 아프길래,SAMSUNG
삼성이  위 하는 방법,SAMSUNG
오늘도 이기긴 쉽지 않아 보임   ,SAMSUNG
어제의 박진만 칭찬합니다 ,SAMSUNG
스타우트 상대도 결국은 뜬금포,SAMSUNG
기아와 삼성의 차이는 수비위치 조정에 있다 ,SAMSUNG
한지윤이나 이율예 둘중 하나는 뽑는게 맞네요   ,SAMSUNG
내 마음 속 영구결번은   번 원조 라이언킹,SAMSUNG
이병헌은 진짜로 못봐주겠음,SAMSUNG
오늘은 무조건 이겨야해요,SAMSUNG
현재 상태만 보면 김영웅  루보고 전병우  루 보는게 가장 최선,SAMSUNG
오지환 영결은 부정적이네   ,LG
범석이 포수장비 까먹고 마스크만 차고 나온줄              ,LG
에르난데스  차전 선발  ,LG
김현수 김재환 누가 더 나쁜가요,LG
두선전 앞두고 단체로 쫄았냐 ,LG
깜짝아 김범석으로 포수 바뀐줄알았네,LG
이왕 이렇게 된거 피스윕 당하고,LG
김오박 개    ,LG
김오박 공  개           쓰리아웃,LG
와 진짜 드럽게 못하네    ,LG
이번회 아웃카운트 김오박    ,LG
김현수           개안습이네,LG
 번부터는 없는타선이구만,LG
공이라도 좀 보던지 진짜 너무들 하네요,LG
김오박 도합공 개 미쳐버리겠네,LG
박동원덕에 박해민안고죽음    ,LG
김오박 트리오 아웃  개   ,LG
김오박 공  개로 쓰리아웃,LG
위기뒤 찬스는 타팀 이야기,LG
오김박 전원 아웃    ,LG
김오박 딱 공  개로  아웃 헌납하네요,LG
팀내 최고 연봉자가 가장 짜증남,LG
김오박             억 꺼억,LG
여윽시 김오박이다,LG
 두산  김현수 김재환 올시즌 성적 비교,LG
역시 해민때 담배피러오길    ,LG
이팀 요즘 에이스 나왔다,LG
김재호는 아직도 짱짱하네 ,LG
 사후타는국룰,LG
 회와는 다른,LG
    저런건 맘에 듬,DOOSAN
하 어제 이겼어야 되는데요,DOOSAN
스포티비 두산 싫어하죠 ,DOOSAN
솔직히 김태근 실링 그닥 높게 보는 편은 아니지만,DOOSAN
안재석 몸이 확실히 커졌네요 ,DOOSAN
라인업,DOOSAN
김대한    강혁,DOOSAN
아니 양석환또쓰네,DOOSAN
허경민 등록 김도윤 말소,DOOSAN
김기연 어제 주루관련 코멘트  사과     ,DOOSAN
김동주 프로데뷔전 유튜브로 봄    소름,DOOSAN
 타율  위  국대  루수 마침내 돌아왔다  타격 문제 없어  수비는 확인 후 다음주부터 ,DOOSAN
승짱 올해 성적내면 장기감독 하겠죠 ,DOOSAN
 회 라모스 안타때 김기연 주루,DOOSAN
     김대한    ,DOOSAN
라인업 ,DOOSAN
장승현은 김기연에게 완전히 밀림,DOOSAN
근데 만약 김대한 조상우 트래이드하면 두산 이득일까요 ,DOOSAN
이유찬이랑 장승현 앞길 터주는게,DOOSAN
잠실 외야 팅커벨,DOOSAN
김대한은  군급 선수임,DOOSAN
성적 빼놓고 봐도 김대한이 기대되는 포인트가 있나요 지금 ,DOOSAN
민병헌 박건우 터진 나이보면 김대한 못버립니다,DOOSAN
이러니저러니해도 팀미래급 야수가   개구단최하위,DOOSAN
김대한은 천현재선에서 정리됨,DOOSAN
제가 조수행보다 저평가하는게 김태근입니다,DOOSAN
김대한은 키움가면    퍼 터질 것 같은데  ,DOOSAN
김대한은 지금  군에서 타격폼 교정중이래요,DOOSAN
허경민 선수 잠실 출근 했습니다 ,DOOSAN
김대한은 딱 경기에 필요한거만 못함,DOOSAN
오늘은 승리보다 팬서비스,KT
강백호 포수    ,KT
강백호 포수출전,KT
  가 진짜 강팀이네요,KT
심재민    이닝  피안타 무실점,KT
심재민   타자 연속 범타처리 이후 출루허용,KT
안되는 날이네요,KT
오늘 타구들이 잡히네요,KT
심재민은 너무 잘하네요,KT
선넘네요 공 안 보는거,KT
황재균도 버릴떄네요,KT
근데진짜 등급이 정도만됐어도   아니면나이가 년만어렸어도  ,KT
내년에 김재환   로,KT
신본기 유격수수비가 이리좋았나,KT
정수빈 많이 느려졌나요 ,KT
라인업  민혁    ,KT
  선발    가 전체적으로 짠듯싶네요,KT
 더그아웃 스토리 무사사구 완봉 그 후 온기로 꽉 찬     성우살롱 ,KT
스탯티즈 투수    가 좀 이상하네요,KT
  드래프트 총평  구단 관계자 ,KT
쿠에바스 요즘 잘던지나요 ,KT
주권 선수   되면 어느팀이든 노릴 만하죠 ,KT
가장 이해 안가는 기용이 문상철이죠,KT
올해   는     년 삼성과비슷한거같아요,KT
제가 원래 문상철 기회주고 끈덕지게 써보자 주장했었는데,KT
  는 타코가 딱 디자인 하는대로 친다는 느낌이 강하네요  ,KT
오재일 홈런아니였음   경기 무패였군요,KT
이대은  년전의 구위를 되찾아가고 있네요    ,KT
온갖 치욕을 당해가며 탱킹한 보람이 있네요,KT
이대은리그였던 이유를 이제야 보여주는군요,KT
떨어진거맞나요 ,SSG
비판 홈에서 막날린 업보 날아오죠 ,SSG
비디오 판독 다 날림   ,SSG
발 떨어진거 같은데 비판이 없네      ,SSG
세입인데    판없 ,SSG
비판권 다쓴거 아쉽게됬네요,SSG
 루에서 발 떨어졌는데 오심이네요 ,SSG
세입같은데,SSG
세입인데     비판이  ,SSG
아놔 비판 없죠,SSG
비디오판독이 없음,SSG
고효준   시절떄도 던졌는,SSG
고효준 병살 유도       ,SSG
병살    ,SSG
이재원 담타석 대타안내겠죠   자동아웃,SSG
내년 죄지훈 연봉 얼마나 깎일지도 궁금하네요,SSG
또 뛰겠네,SSG
프레이밍을 잘올려주네요,SSG
다른거    번 이해한다고 쳐도 이재원 쓰는건 이해가 안감,SSG
서진용  회도 가능할듯 ,SSG
고효준 지금 던지는걸 보니 갑자기 전병두 생각나네요 ,SSG
상황을 잘 모르는데 맥카티가 선발 아닌이유가 ,SSG
고효준은 몸 엄청 좋을거 같은데,SSG
근데 이로운 송영진은 엔트리 못 들었나요  ,SSG
노고나왔고 고 흔들리면,SSG
이대로 지면 뭐가 결정적이였을까요 ,SSG
한유섬은 이번 시리즈에 아쉽네요,SSG
현시점 한유섬이 최고 가을 남자죠 ,SSG
심판 존,SSG
킹유섬 등장,SSG
소나기인데,LOTTE
기상청 현재 바뀐예보,LOTTE
부산시 신구장은 돔구장으로 합시다,LOTTE
비만그친다면 경기를   분에서 한시간늦춰서라도,LOTTE
지금 사직 구장인데,LOTTE
사직야구장 배수도안되는데 방수포깔아놓으면안되나요,LOTTE
사직 주차장 상황이라는데   ,LOTTE
